"","CD4_c0_Tcm","CD4_c1_Treg","CD4_c10_Tn_LEF1_ANKRD55","CD4_c11_Tisg","CD4_c2_Tn","CD4_c3_Tfh","CD4_c4_Tstr","CD4_c5_CTL","CD4_c6_Tn_FHIT","CD4_c7_Tn_TCEA3","CD4_c8_Tf17","CD4_c9_Tn_TCF7_SLC40A1","CD8_c0_t_Teff","CD8_c1_Tex","CD8_c10_Teff_CD244","CD8_c11_Teff_SEMA4A","CD8_c12_Trm","CD8_c13_Tn_TCF7","CD8_c2_Teff","CD8_c3_Tn","CD8_c4_Tstr","CD8_c5_Tisg","CD8_c6_Tcm","CD8_c7_p_Tex","CD8_c8_Teff_KLRG1","CD8_c9_Tsen","Mast","Mo_01_CD14","Mo_02_CD16","Mono_like_01_CD14","Mono_like_02_CD16","Mono_like_03_CD14CD16","MonoDC","Mph_01_MARCO","Mph_02_CCL20","Mph_03_SPP1","Mph_04_TREM2","Mph_05_IL1B","Mph_06_CXCL9","Mph_07_SLC40A1","Mph_08_APOE","Mph_09_STMN1","Neu_01_MMP8","Neu_02_S100A12","Neu_03_ISG15","Neu_04_TXNIP","Neu_05_ELL2","Neu_06_PTGS2","Neu_07_APOA2","Neu_08_CD74","Neu_09_IFIT1","Neu_10_SPP1","Neu_11_CCL4","DC_01_CLEC9A","DC_02_CD1C","DC_03_LAMP3","DC_04_CD207","DC_05_LILRA4","DC_06_STMN1","ecm_myCAF","detox_iCAF","IL_iCAF","TGFβ_myCAF","wound_myCAF","IFNγ_iCAF","CAF_S1","Normal_Fibroblast"
"1","ANXA1","FOXP3","ANKRD55","ISG15","NBEAL1","CXCL13","HSPA6","GZMA","FHIT","TCEA3","GNLY","SLC40A1","LMNA","CXCL13","CD244","SEMA4A","ITGA1","NHSL2","FGFBP2","LTB","HSPA6","ISG15","DKK3","CHI3L2","LGR6","KLRC4","TPSB2","VCAN","AIF1","EREG","MS4A7","HLA-DRA","FCER1A","MARCO","SPP1","SPP1","SPP1","SELENOP","CXCL10","SELENOP","APOC1","SPP1","LTF","S100A8","IL1R2","IL1R2","SAMSN1","PTGS2","G0S2","PI3","RSAD2","C15orf48","CCL3L1","CPVL","HLA-DRA","CCL19","S100B","GPR183","CD1C","ASPN","ADH1B","ITM2A","CST1","SFRP4","CCL19","LAMA2","ACACB"
"2","LMNA","IL2RA","LEF1","IFI6","CCR7","NMB","HSPA1A","CCL5","ADTRP","NOSIP","SLC1A4","TCF7","ZFP36","GZMB","KLRG1","LMNA","CPNE7","TCF7","GNLY","SELL","HSPA1A","IFI6","CLDND1","FABP5","FGFBP2","PLCG2","TPSAB1","S100A9","LST1","LYZ","IL1B","LYZ","LYZ","CD5L","CXCL3","GPNMB","APOE","LGMN","C1QB","C1QA","FTL","C1QB","CAMP","S100A12","MNDA","CSF3R","C5AR1","CXCL8","CXCL8","C15orf48","IFIT3","PI3","CCL4L2","CST3","HLA-DPB1","TXN","FCGBP","SPIB","CST3","COL3A1","C7","CXCL12","LAMP5","CCDC80","VCAM1","SFRP4","ACSM5"
"3","VIM","TNFRSF4","TCF7","IFI44L","GLTSCR2","PDCD1","HSPA1B","CCL4","GLTSCR2","TCF7","CTSH","NOSIP","RGCC","HAVCR2","PTPRCAP","TMEM66","TXNIP","NACA2","GZMH","LEF1","HSPA1B","MX1","TRAT1","PTPRCAP","PLEK","IGKC","DEFA3","LYZ","FCN1","THBS1","FCN1","HLA-DPB1","HLA-DQA2","C1QB","CCL20","CTSB","APOC1","CCL3","C1QA","C1QB","APOE","C1QC","LCN2","S100A9","CSF3R","FCGR3B","NAMPT","G0S2","APOA2","G0S2","IFIT2","CXCL8","C15orf48","HLA-DPB1","CLEC10A","BIRC3","HLA-DQB2","HLA-DQA1","HLA-DRA","THY1","CXCL12","FIGF","LOXL1","OGN","RBP5","PDGFRA","ADAMTS5"
"4","KLRB1","TIGIT","NOSIP","MX1","TCF7","FABP5","DNAJB1","GZMH","EIF3E","LEF1","CXCR6","LEF1","CXCR4","KRT86","EEF1A1P5","EEF1A1P5","IL7R","C6ORF48","CX3CR1","NOSIP","DNAJB1","IFI44L","SARAF","ACTG1","CX3CR1","EEF1A1P5","CPA3","S100A8","FCGR3A","FCN1","LST1","HLA-DPA1","CLEC10A","C1QA","EREG","MMP12","C1QC","C1QA","CXCL9","SLC40A1","C1QB","C1QA","PGLYRP1","GCA","FCGR3B","MNDA","BASP1","PROK2","C5AR1","CXCL8","C15orf48","G0S2","CXCL8","HLA-DPA1","HLA-DQB1","CCR7","CD1A","HLA-DQB1","HLA-DRB1","SFRP2","TNXB","FXYD1","EDNRA","DCN","CYP1B1","LRRC15","ADRB1"
"5","IL7R","CARD16","SELL","IFIT3","GNB2L1","ITM2A","HSPH1","NKG7","NOSIP","MAL","LGALS3","MAL","DUSP2","CCL3","PLEK","GZMK","H1FX","RACK1","S1PR5","EIF3E","HSPH1","IFIT3","LDHA","CD27","S1PR5","KLRK1","CTSG","FCN1","CDKN1C","VCAN","FCGR3A","HLA-DRB1","CST3","C1QC","PLIN2","CTSD","C1QB","C1QB","C1QC","C1QC","C1QA","CTSB","MMP8","IL1R2","S100A8","CXCR2","S100A9","PLAUR","NAMPT","PPIF","ISG15","FTH1","PI3","HLA-DQB1","HLA-DQA1","MARCKSL1","CD207","AREG","TUBA1B","COL10A1","RSPO3","PLPP3","TGFB1","PTGER3","C7","GREM1","AGTR1"
"6","ZFP36","TNFRSF18","IL6ST","IFIT1","SELL","LAG3","HSP90AA1","HOPX","SELL","C1orf162","PLIN2","SELL","ZFP36L2","ENTPD1","LIME1","JUND","TMEM173","SELL","SPON2","CCR7","HSP90AA1","IFIT1","ITM2C","CD38","SPON2","KLRC4-KLRK1","HPGD","S100A12","CTSS","IL1B","EREG","FCN1","SAMHD1","SLC40A1","CTSL","FTL","CTSB","CXCL3","APOE","RNASE1","C1QC","RNASE1","CRISP3","MNDA","IFITM1","RIPOR2","G0S2","NAMPT","FCGR3B","PHACTR1","G0S2","BCL2A1","CCL3","CLEC9A","HLA-DPA1","IDO1","FCER1A","HLA-DRA","HLA-DPA1","COL6A3","DCN","TNFRSF10D","TGFB3","SFRP2","TNFRSF4","SFRP2","AKR1C4"
"7","ZFP36L2","BATF","LDLRAP1","RSAD2","C6orf48","CD200","HSPE1","GZMB","C6orf48","LDLRAP1","JAML","C1orf162","JUND","VCAM1","DENND2D","HLA-H","ETS1","C12ORF57","FCGR3A","EEF1B2","BAG3","RSAD2","DUSP2","CAV1","ADGRG1","TMSB4XP8","MS4A2","CTSS","MS4A7","S100A9","LILRB2","CST3","HLA-DQB1","CD163","CCL7","APOC1","CTSD","GPNMB","LGMN","LGMN","CD68","TUBA1B","PADI4","CMTM2","IFIT2","GCA","PLAUR","BCL2A1","PLAUR","BCL2A1","IFIT1","PHACTR1","G0S2","LGALS2","HLA-DRB1","FSCN1","HLA-DRB5","HLA-DPA1","HLA-DQB1","LRRC17","C16orf89","CTB-92J24.3","TNN","PDGFRL","CXCL13","KIAA1462","ANKRD20A4"
"8","GPR183","CTLA4","RIPOR2","STAT1","TMEM66","TOX2","HSPB1","LGALS1","DONSON","FLT3LG","KLRB1","LDLRAP1","XCL1","LAG3","SLC9A3R1","PTPRCAP","PIK3IP1","TPT1","PLEK","MAL","HSPD1","OAS1","MLLT3","CNN2","FCRL6","HSPA1B","HPGDS","CSTA","CFD","MAFB","AIF1","HLA-DQA1","HLA-DPB1","LIPA","OLR1","FABP5","C1QA","CTSB","CTSZ","FOLR2","CTSB","CTSD","S100P","VNN2","IFIT3","FPR1","IFITM2","C5AR1","CMTM2","ALOX5AP","CXCL8","CCL3L1","CCL4","CD74","CD1C","LAMP3","HLA-DQB1","HLA-DPB1","HLA-DQA1","CILP","GDF10","LAMC3","CST2","SMOC2","CXCL9","DCN","ANKRD31"
"9","CXCR4","RTKN2","FYB1","MX2","EEF1B2","GNG4","BAG3","ALOX5AP","TCF7","EIF3E","IL17F","FLT3LG","GZMK","TNFRSF9","SASH3","TMSB4XP8","ERN1","GLTSCR2","ADGRG1","GLTSCR2","HSPE1","IFI27","ATP6V0C","DENND2D","RIPOR2","HLA-H","GATA2","CYP1B1","COTL1","CXCL2","MAFB","HLA-DQB1","HLA-DRA","MS4A7","CSTB","CTSL","GPNMB","RNASE1","HLA-DRB1","APOE","NPC2","TUBB","CEACAM8","CDA","GCA","NAMPT","ACSL1","OSM","BCL2A1","FTH1","TNFAIP6","NAMPT","IL1B","HLA-DRA","CST3","CCL22","HLA-DQA1","GRASP","HLA-DRB5","GRP","PAMR1","C7","HES4","MMP23B","CCL2","CPXM2","AQP7"
"10","RGCC","IL32","TRABD2A","OAS1","LEF1","TIGIT","HSPD1","GZMK","LEF1","RASGRP2","IL17A","KLF2","FTH1","CTLA4","CMC1","C6orf62","BCL11B","LEF1","FCRL6","AIF1","HSPB1","IFI44","GGA2","PFN1","PAXX","C1orf56","LTC4S","CYBB","POU2F2","SERPINB2","APOBEC3A","HLA-DRB5","HLA-DPA1","SELENOP","CXCL2","CSTB","PSAP","C1QC","HLA-DQA1","MS4A7","SPP1","APOE","CD177","MME","RIPOR2","TMEM154","ELL2","IL1B","S100A9","IFITM2","FCGR3B","S100A11","PHACTR1","HLA-DRB1","HLA-DRB5","CXCL9","HLA-DRA","HLA-DRB1","CD74","ITGBL1","FXYD1","ZBTB16","COL10A1","CPXM2","IL34","PTGFR","ARHGAP6"
"11","FTH1","PMAIP1","ATM","LY6E","TOMM7","NR3C1","DNAJA1","CXCR6","CCR7","AES","HSP90AA1","EEF1G","GPR183","CCL4L1","PSMB10","CD97","KLRB1","CCR7","PLAC8","GNB2L1","SERPINH1","XAF1","TRMO","HLA-DRA","KLRG1","NPIPB4","CLU","S100A4","LILRB2","CTSS","CTSS","CD74","HLA-DRB5","FTL","RETN","NUPR1","TREM2","SLC40A1","CTSB","GPNMB","AIF1","PSAP","BPI","FCGR3B","LRRK2","LRRK2","TREM1","SRGN","LITAF","FCGR3B","BCL2A1","IER3","BCL2A1","SNX3","HLA-DQA2","LGALS2","HLA-DQA2","CD74","HLA-DPB1","COL8A1","ZBTB16","CAPN6","ELN","COL14A1","ABI3BP","WNT2","ASPA"
"12","MYADM","SAT1","C1orf162","XAF1","EEF1G","SH2D1A","HSP90AB1","CST7","AIF1","SELL","BHLHE40","TRABD2A","PIK3R1","RBPJ","IFITM1","RGCC","TRBC1","TRABD2A","EFHD2","S100B","ZFAND2A","MX2","GPR183","UCP2","FCGR3A","KIAA1551","IL1RL1","S100A6","SPI1","NLRP3","COTL1","CLEC10A","VCAN","HMOX1","IL1RN","RNASE1","CD14","MS4A7","HLA-DRA","MS4A4A","HLA-DRA","NPC2","CLC","CSF3R","CXCR2","RGS18","S100P","FTH1","TREM1","FCER1G","OSM","SPP1","IER3","HLA-DRB5","FCER1A","EBI3","CD1E","ATF5","STMN1","COL14A1","SLIT3","SCARA5","THBS4","ITGBL1","CYP7B1","ADAMTSL1","ATOH8"
"13","FOS","CTSC","TXNIP","SAMD9L","EIF3E","SMCO4","JUN","HLA-DRB1","GNB2L1","AIF1","CCL20","SORL1","NR4A2","TIGIT","IGKC","MATR3","PRDM1","LTB","KLRD1","C6orf48","CACYBP","STAT1","CST7","HLA-DMA","FGR","C6orf62","VWA5A","MNDA","FCER1G","C5AR1","CFD","IL1B","CD74","FOLR2","SLC11A1","CXCL3","CTSZ","FOLR2","CCL3","LIPA","GPNMB","CD14","ARG1","MEGF9","CLEC4E","IFITM2","SLA","PHACTR1","AQP9","HCAR3","PHACTR1","BRI3","TNFAIP6","C1orf54","CD74","CD83","HLA-DPB1","PLAC8","LYZ","ADAM12","HSPB6","DLK1","NKD2","WISP2","F10","FBLN5","ATP1A2"
"14","AHNAK","TNFRSF9","MCUB","OAS3","GIMAP1","CHI3L2","NR4A1","HLA-DRB5","PLAC8","PLAC8","HSPA8","RASGRP2","JUNB","RGS1","TMSB4XP8","SMG1P1","CDV3","ACTN1","HOPX","EEF1A1","HSP90AB1","OAS3","OAZ1","LAT","SELENOW","HSPA1A","HDC","TSPO","S100A4","PLAUR","HMOX1","HLA-DMA","CPVL","FCGRT","VCAN","APOE","CAPG","IL1B","PSAP","DAB2","TYROBP","APOC1","S100A12","LRRK2","IFITM2","MEGF9","SRGN","AQP9","SRGN","CMTM2","FTH1","ALOX5AP","NFKBIA","HLA-DQA1","GPR183","PPA1","CD74","PLD4","FCER1A","OLFML2B","IL6","MEG3","OLFM2","CILP2","COLEC12","DPP4","ATP8B4"
"15","PTGER4","TBC1D4","TXK","EIF2AK2","NOSIP","TOX","FKBP4","GLUL","EEF1B2","DONSON","ALOX5AP","AES","MYADM","TNFRSF18","TPST2","NPIPB4","JAML","NBEAL1","ITGB1","LDHB","FKBP4","EPSTI1","CREM","CD74","ATP5MC2","H3F3AP4","SLC18A2","TKT","STXBP2","CD300E","STXBP2","MS4A7","CD1C","CTSB","TIMP1","CD68","NUPR1","DAB2","HLA-DPA1","PSAP","CTSD","CD68","CYP4F3","IFITM2","CMTM2","SORL1","CEBPB","LITAF","IFITM2","H3F3B","NAMPT","NFKBIA","IL1A","IDO1","AREG","HLA-DPB1","HLA-DPA1","IFI30","GPR183","ELN","FBLN5","TAC1","COL6A3","COL8A1","CXCL10","P4HA3","BMP5"
"16","JUND","MAGEH1","CCR7","IFI44","UBA52","ICA1","HSPA8","RBPJ","TRABD2A","TRABD2A","SPOCK2","ATM","XCL2","PDCD1","PTPN6","FOSB","GNAI2","AES","KLRG1","TCF7","HSPA8","SAMD9L","CMC1","LIMD2","KLRF1","NKTR","RHEX","PLBD1","CLEC12A","CSTA","WARS","AIF1","HLA-DQA1","MS4A6A","FBP1","PLIN2","MSR1","CXCL2","CD68","PLD3","CD74","STMN1","RETN","ACSL1","MX2","CMTM2","SLC11A1","BASP1","FTH1","S100A9","IFITM2","CEBPB","FTH1","IRF8","LYZ","CCL17","CD1C","NR4A3","PCLAF","PLPP4","OGN","THUMPD3-AS1","LRRC17","GAS1","EMILIN1","CCDC80","C1QTNF7"
"17","TNFAIP3","IKZF2","SCML4","HERC5","FAM65B","CAV1","ZFAND2A","HLA-DPA1","MAL","GLTSCR2","S100A4","INPP4B","FOS","IFNG","NKG7","C17orf76-AS1","TRAC","LDLRAP1","NKG7","TMEM123","DNAJA1","HERC5","CYSTM1","COTL1","SLC9A3R1","PIP4K2A","KIT","AIF1","PSAP","ATP2B1","CDKN1C","SDS","FCN1","CD68","SERPINB2","LGALS3","GRN","CTSD","CD74","CTSB","FCER1G","TGFBI","CD24","S100A6","FPR1","SLC25A37","S100A12","IVNS1ABP","CXCR2","S100A11","SAT1","FCER1G","NAMPT","CPNE3","LGALS2","NUB1","TACSTD2","IRF4","TUBB","CREB3L1","PLA2G2A","GMFG","COL3A1","COL3A1","GGT5","PRICKLE1","C4orf32"
"18","KLF2","TNFRSF1B","ARHGAP45","EPSTI1",NA,"PTPN13","SERPINH1","XCL1","TSHZ2","LDHB","RBPJ","CD48","YPEL5","ACP5","LAT","KLRK1","DDX17","MAL","FGR","ACTN1","NR4A1","EIF2AK2","FAM177A1","ACTB","ATP5F1B","NLRC5","ADCYAP1","CLEC12A","CYBB","APOBEC3A","LILRA5","MAFB","CSTA","CFD","LYZ","HMOX1","CD68","PLD3","CTSC","CTSD","MS4A6A","CTSZ","ANXA3","RIPOR2","MEGF9","CLEC4E","AQP9","TREM1","CSF3R","SRGN","H3F3B","PLAUR","ALOX5AP","WDFY4","HLA-DMA","DAPP1","PKIB","LILRA4","MS4A6A","FBN1","CHRDL1","CYGB","THY1","OMD","EGFLAM","GALNT12","CA3"
"19","GPR171","LAYN","RASGRP2","ISG20",NA,"PTPRCAP","FOSB","ATP5F1E","TXK","ADD3","PKIG","CCR7","FOSB","LAYN","ARPC5L","GIMAP5","EAPP","BCL11B","S100A4","TPT1","DNAJB4","IFIT2","CCR7","GZMK","ATP5PB","NPIPB5","RGS13","MPEG1","LILRA5","CYBB","RNF144B","MS4A6A","HLA-DMB","CST3","CD68","LGMN","HLA-DRA","PSAP","TMEM176B","CD68","HLA-DPA1","LGMN","OLFM4","RGS18","NAMPT","S100A8","PROK2","RGS2","BASP1","NAMPT","LITAF","VEGFA","PLAUR","HLA-DQA2","CPVL","RASSF4","HLA-DRB1","BID","HMGN2","LOXL1","CYGB","CCL8","HTRA3","COL11A1","PLXDC1","ABI3BP","CAB39L"
"20","S100A10","CD74","MAL","IRF7",NA,"SRGN","FOS","HLA-DPB1","TOMM7","SMDT1","PHLDA1","LDHB","VIM","CXCR6","CNN2","NLRC5","IGKC","ETS1","ZEB2","TRABD2A","UBC","LY6E","FTH1","LIME1","TBX21","PVRIG","RAB27B","RETN","LYPD2","TIMP1","C5AR1","C1QA","C1orf162","VSIG4","SDS","PSAP","CD74","LIPA","HLA-DQB1","CD14","PSAP","DAB2","S100A8","NCF1","VNN2","TXNIP","MXD1","GLUL","FPR1","LITAF","IFITM3","SLPI","OSM","LYZ","IFI30","HLA-DQA1","GSN","HLA-DMA","CLEC10A","MATN3","FGF7","VCAM1","TMEM204","CILP","CXCL11","GALNTL2","CADM3"
"21","MCL1","HTATIP2","SERINC5","OASL",NA,"DUSP4","PPP1R15A","GNLY","LDLRAP1","C6orf48","GAPDH","PLAC8","TNFAIP3","RGS2","FCRL6","H3F3AP4","BTG1","TIPIN","MYO1F","PASK","PPP1R15A","TNFSF10","GZMK","HLA-DRB5","PXN","SLAMF7","CMA1","CD14","LRRC25","SLC11A1","FCER1G","NPC2","ENHO","VCAM1","MARCO","CTSZ","CTSL","CD68","MS4A7","CD74","LYZ","TREM2","CDA","FPR1","RGS18","VNN2","IL1R2","CMTM2","MNDA","TREM1","PLAUR","PPIF","CD83","RAB7B","HLA-DMB","GPR157","CTSH","PPP1R14A","HLA-DQA2","LRRC15","PI16","FMO2","SEPT11","NEXN","CCL8","RSPO3","CCDC69"
"22","LYAR","CD27","INPP4B","IFIT2",NA,"PPP1CC","CACYBP","APOBEC3G","ACTN1","MYC","RORA","TMC8","BTG1","GNLY","ZAP70","ITM2A","FKBP5","UBALD2","C12orf75","DONSON","DNAJA4","SAMD9","NAA50","FXYD2","TRIR","SMG1P1","MAOB","MARCH1","SERPINA1","PPIF","IFI30","FGL2","JAML","CETP","C15orf48","MSR1","MAFB","APOC1","APOC1","MS4A6A","MSR1","FTL","MMP9","SELL","SELL","EVI2B","RNF149","FPR1","MXD1","MCEMP1","HCAR3","MCEMP1","PPIF","RGS10","MS4A6A","HLA-DRA","NDRG2","SYNGR2","H2AFZ","COMP","PLAC9","FBLN5","COMP","ASPN","CXCL3","LOC100288077","CD14"
"23","S100A11","GBP5","PLAC8","GBP1",NA,"PDE7B","DUSP1","CD99","VAMP2","RIPOR2","CCR6","SCML4","CD69","PHLDA1","FGR","PVRIG","GPR171","TXNIP","ASCL2","FLT3LG","TNFSF9","IRF7","CXCL8","NUCB2","ATP5F1D","NPIPB3","MS4A3","CD36","TCF7L2","THBD","NLRP3","LGALS2","CFP","LGMN","S100A10","LIPA","NPC2","CTSZ","SLC40A1","CD163","TREM2","CAPG","S100A9","MMP9","S100A12","SMAP2","FPR1","MXD1","PROK2","IER3","PPIF","KRT19","ICAM1","SHTN1","CD1E","GPR183","LTB","JAML","TYMS","ISLR","WISP2","COLEC12","TNFAIP6","RARRES2",NA,"PODN","CD34"
"24","TTC19","GK","TSHZ2","IFI27",NA,"CORO1B","EGR1","S100A4","RASGRP2","TRAF3IP3","MSC","TMEM66","TUBA4A","DUSP4","TMEM66","NPIPB5","FAM102A","MLXIP","TBX21","TXK","CHORDC1","PLSCR1","HLA-B","CORO1A","TTC38","DDX17","PTGS1","AP1S2","TKT","CD14","SAT1","CPVL","HLA-DMA","CCL3","PLAUR","PLD3","HLA-DRB1","MS4A4A","FOLR2","HLA-DRA","LGALS3","FOLR2","CKAP4","EVI2B","IFIT1","LILRB3","CD55","IFITM2","PHACTR1","SLC25A37","IER3","CCL4L2","TNFAIP3","C1orf162","C1orf162","CSF2RA","PLEK2","IL4I1","HLA-DMA","P3H1","PTX3","PDGFD","ID4","FIBIN",NA,"CHRDL1","CD36"
"25","CD69","CD7","FHIT","PARP9",NA,"AHI1","GADD45B","HLA-DRA","LDHB","TXK","FURIN","FAM65B","CMC1","IGKC","SAMD3","NPIPB3","MIAT","FOXP1","DSTN","IL7R","UBB","ISG20","SRGN","PSMB10","TRGV10",NA,"CD9","LTA4H","FGL2","OLR1","PSAP","IFI30","LGALS2","BLVRB","GPNMB","NPC2","FTL","CCL3L1","HLA-DPB1","APOC1","MS4A7","GRN","VNN1","MGAM","TMEM154","RNF149","CLEC4E","FCGR3B","PTGS2","LST1","CCL3L1","TNFAIP6","FCER1G","CADM1","CTSH","DUSP5","HLA-DMA","CD86","S100B","COL11A1","CCL2","GADD45G","GGT5","TMEM119",NA,"CILP","CDH6"
